epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,2246.98,0.47966,0.38588,0.85789,0.92741,0.68764,0.7788,0.63952,0.5054,0.44888,0.86255,8.36683e-05,8.36683e-05,8.36683e-05
51,2292.17,0.48925,0.38689,0.86033,0.88051,0.71281,0.7781,0.64372,0.50867,0.44812,0.86722,8.3335e-05,8.3335e-05,8.3335e-05
52,2337.24,0.47349,0.37847,0.8529,0.92103,0.69574,0.78872,0.64874,0.50134,0.43132,0.86131,8.30017e-05,8.30017e-05,8.30017e-05
53,2382.99,0.48489,0.38235,0.85784,0.89217,0.71474,0.78514,0.64533,0.5092,0.45335,0.86516,8.26684e-05,8.26684e-05,8.26684e-05
54,2428.29,0.46926,0.3722,0.85513,0.93587,0.68382,0.78896,0.65116,0.49483,0.45406,0.85444,8.23351e-05,8.23351e-05,8.23351e-05
55,2473.98,0.46891,0.37166,0.85396,0.90952,0.68025,0.7734,0.65152,0.49229,0.44636,0.85748,8.20018e-05,8.20018e-05,8.20018e-05
56,2519.62,0.47304,0.37862,0.85254,0.91779,0.68248,0.77773,0.64786,0.51493,0.44676,0.86853,8.16685e-05,8.16685e-05,8.16685e-05
57,2565.37,0.47697,0.37915,0.85901,0.93346,0.6894,0.78329,0.65373,0.50498,0.44651,0.86506,8.13352e-05,8.13352e-05,8.13352e-05
58,2611.1,0.46211,0.36356,0.85024,0.9229,0.67984,0.77971,0.64984,0.5055,0.46238,0.86385,8.10019e-05,8.10019e-05,8.10019e-05
59,2657.04,0.46943,0.37231,0.85296,0.91659,0.70216,0.78323,0.65081,0.50672,0.4404,0.86027,8.06686e-05,8.06686e-05,8.06686e-05
60,2711.01,0.45283,0.35728,0.8439,0.91209,0.69522,0.78898,0.65612,0.4986,0.44573,0.85452,8.03353e-05,8.03353e-05,8.03353e-05
61,2756.92,0.46991,0.37176,0.85373,0.91955,0.70106,0.78669,0.65236,0.50644,0.4463,0.86576,8.0002e-05,8.0002e-05,8.0002e-05
62,2802.2,0.46854,0.36996,0.8523,0.93233,0.67763,0.7776,0.64297,0.50642,0.45052,0.86133,7.96687e-05,7.96687e-05,7.96687e-05
63,2847.44,0.45394,0.36177,0.84968,0.90615,0.70114,0.79167,0.6514,0.50513,0.44412,0.86069,7.93354e-05,7.93354e-05,7.93354e-05
64,2892.33,0.44986,0.35933,0.84909,0.9001,0.70332,0.78685,0.64619,0.51147,0.45657,0.87026,7.90021e-05,7.90021e-05,7.90021e-05
65,2937.84,0.45397,0.35785,0.85157,0.89934,0.69862,0.78499,0.65576,0.50375,0.44417,0.86971,7.86688e-05,7.86688e-05,7.86688e-05
66,2984.06,0.45966,0.35923,0.84975,0.92171,0.69905,0.77909,0.65019,0.48796,0.45155,0.86482,7.83355e-05,7.83355e-05,7.83355e-05
67,3030.33,0.45784,0.35716,0.85266,0.90462,0.7116,0.79213,0.6526,0.50563,0.45108,0.8708,7.80022e-05,7.80022e-05,7.80022e-05
68,3082.79,0.44646,0.35102,0.85101,0.91925,0.6934,0.78668,0.64829,0.51547,0.46571,0.87201,7.76689e-05,7.76689e-05,7.76689e-05
69,3128.59,0.44412,0.34977,0.84446,0.89958,0.70205,0.78517,0.64502,0.51642,0.44032,0.86419,7.73356e-05,7.73356e-05,7.73356e-05
70,3174.56,0.45079,0.35676,0.84328,0.90464,0.69982,0.78245,0.6477,0.50341,0.45397,0.86201,7.70023e-05,7.70023e-05,7.70023e-05
71,3221.09,0.45563,0.35921,0.85173,0.93843,0.67632,0.77544,0.6436,0.50566,0.45809,0.86672,7.6669e-05,7.6669e-05,7.6669e-05
72,3266.66,0.437,0.34871,0.84487,0.9,0.6939,0.77983,0.64455,0.50614,0.47208,0.87016,7.63357e-05,7.63357e-05,7.63357e-05
73,3311.91,0.44269,0.35198,0.85161,0.90284,0.69037,0.78317,0.65066,0.50032,0.4561,0.86388,7.60024e-05,7.60024e-05,7.60024e-05
74,3357.18,0.44407,0.34944,0.84115,0.86674,0.71673,0.78238,0.64676,0.49974,0.43959,0.8626,7.56691e-05,7.56691e-05,7.56691e-05
75,3402.6,0.45157,0.3485,0.84575,0.90024,0.71596,0.78683,0.64697,0.4972,0.44935,0.85948,7.53358e-05,7.53358e-05,7.53358e-05
76,3450.72,0.44041,0.34058,0.84541,0.92935,0.69615,0.78798,0.65475,0.49758,0.42716,0.86047,7.50025e-05,7.50025e-05,7.50025e-05
77,3499.51,0.45472,0.35099,0.84795,0.9293,0.69204,0.78502,0.64611,0.50865,0.43542,0.87252,7.46692e-05,7.46692e-05,7.46692e-05
78,3548.33,0.45795,0.35008,0.84849,0.93079,0.68132,0.7864,0.65353,0.49288,0.43764,0.86367,7.43359e-05,7.43359e-05,7.43359e-05
79,3599.28,0.43238,0.33527,0.84551,0.92046,0.69871,0.79101,0.65904,0.49278,0.43629,0.86359,7.40026e-05,7.40026e-05,7.40026e-05
80,3650.31,0.44184,0.34398,0.84317,0.87522,0.71883,0.78851,0.65427,0.49439,0.43667,0.85722,7.36693e-05,7.36693e-05,7.36693e-05
81,3699.83,0.43989,0.33841,0.84249,0.93238,0.68634,0.78901,0.65531,0.49622,0.43388,0.86237,7.3336e-05,7.3336e-05,7.3336e-05
82,3749.45,0.43456,0.33603,0.84908,0.8883,0.70855,0.78489,0.65143,0.50342,0.44841,0.86728,7.30027e-05,7.30027e-05,7.30027e-05
83,3798.25,0.42949,0.33006,0.84105,0.88633,0.71032,0.78458,0.66024,0.50234,0.44381,0.87245,7.26694e-05,7.26694e-05,7.26694e-05
84,3847.03,0.436,0.33757,0.8405,0.91958,0.69573,0.78742,0.65588,0.5009,0.43598,0.86818,7.23361e-05,7.23361e-05,7.23361e-05
85,3895.56,0.43614,0.3332,0.84304,0.93359,0.69633,0.78867,0.65581,0.49978,0.45327,0.86683,7.20028e-05,7.20028e-05,7.20028e-05
86,3944.06,0.44236,0.33729,0.85046,0.94159,0.69554,0.79039,0.65967,0.49309,0.45258,0.86725,7.16695e-05,7.16695e-05,7.16695e-05
87,3992.91,0.43541,0.3316,0.83746,0.9485,0.67787,0.78715,0.65624,0.49623,0.44424,0.87173,7.13362e-05,7.13362e-05,7.13362e-05
88,4048.06,0.43674,0.33271,0.84663,0.92643,0.69392,0.79041,0.66177,0.49168,0.42882,0.8658,7.10029e-05,7.10029e-05,7.10029e-05
89,4096.84,0.43424,0.32999,0.84784,0.9258,0.7026,0.78876,0.66066,0.49589,0.41944,0.86571,7.06696e-05,7.06696e-05,7.06696e-05
90,4146.66,0.43179,0.32898,0.84334,0.92698,0.70074,0.78913,0.65379,0.49881,0.43232,0.86004,7.03363e-05,7.03363e-05,7.03363e-05
91,4196.42,0.43145,0.33215,0.83833,0.92059,0.714,0.79388,0.66171,0.49599,0.43512,0.86216,7.0003e-05,7.0003e-05,7.0003e-05
92,4251.19,0.41804,0.3227,0.83657,0.92757,0.71312,0.79242,0.65498,0.50172,0.43967,0.86815,6.96697e-05,6.96697e-05,6.96697e-05
93,4301.49,0.43277,0.32565,0.84361,0.90058,0.69849,0.78797,0.65257,0.49771,0.43947,0.86846,6.93364e-05,6.93364e-05,6.93364e-05
94,4351.6,0.42321,0.32327,0.8393,0.95644,0.68851,0.77967,0.64881,0.50114,0.44768,0.86947,6.90031e-05,6.90031e-05,6.90031e-05
95,4400.36,0.42903,0.33104,0.83845,0.90378,0.70812,0.78649,0.65359,0.48931,0.44359,0.86289,6.86698e-05,6.86698e-05,6.86698e-05
96,4455.35,0.42395,0.31919,0.83927,0.9129,0.70594,0.78833,0.65578,0.49083,0.44685,0.86306,6.83365e-05,6.83365e-05,6.83365e-05
97,4504.16,0.43899,0.32867,0.83948,0.9268,0.70465,0.79131,0.65616,0.4922,0.42581,0.86392,6.80032e-05,6.80032e-05,6.80032e-05
98,4553.46,0.42115,0.3219,0.83909,0.92497,0.70836,0.79498,0.65802,0.49177,0.4161,0.86803,6.76699e-05,6.76699e-05,6.76699e-05
99,4601.68,0.42803,0.32583,0.83788,0.95286,0.68715,0.79582,0.66713,0.4901,0.41623,0.86435,6.73366e-05,6.73366e-05,6.73366e-05
100,4649.85,0.4155,0.32015,0.84083,0.88963,0.7219,0.79486,0.65747,0.49524,0.44017,0.86119,6.70033e-05,6.70033e-05,6.70033e-05
101,4696.32,0.42086,0.3235,0.83908,0.93215,0.71233,0.79584,0.66342,0.49465,0.43045,0.86587,6.667e-05,6.667e-05,6.667e-05
102,4742.3,0.42293,0.3234,0.84081,0.91177,0.71098,0.78898,0.66145,0.49797,0.43698,0.86854,6.63367e-05,6.63367e-05,6.63367e-05
103,4787.87,0.41573,0.31746,0.84082,0.91265,0.71737,0.79329,0.66405,0.49271,0.4298,0.8666,6.60034e-05,6.60034e-05,6.60034e-05
104,4834.87,0.40971,0.30841,0.83319,0.92368,0.71471,0.79322,0.6633,0.48436,0.41097,0.85719,6.56701e-05,6.56701e-05,6.56701e-05
105,4880.2,0.41204,0.30957,0.83626,0.91281,0.72505,0.79169,0.66023,0.49267,0.42423,0.8651,6.53368e-05,6.53368e-05,6.53368e-05
106,4924.97,0.41896,0.31529,0.83687,0.91779,0.70334,0.79195,0.66301,0.48515,0.43067,0.86294,6.50035e-05,6.50035e-05,6.50035e-05
107,4969.55,0.40897,0.30778,0.83716,0.92311,0.69694,0.78589,0.65656,0.49295,0.43332,0.86198,6.46702e-05,6.46702e-05,6.46702e-05
108,5014,0.41369,0.31566,0.83433,0.94924,0.70709,0.79113,0.66445,0.47472,0.41218,0.8481,6.43369e-05,6.43369e-05,6.43369e-05
109,5058.46,0.41511,0.30981,0.83368,0.92235,0.71751,0.7935,0.65892,0.47789,0.41436,0.85203,6.40036e-05,6.40036e-05,6.40036e-05
110,5102.79,0.40845,0.30446,0.83373,0.9383,0.70078,0.79218,0.66069,0.48261,0.41481,0.85717,6.36703e-05,6.36703e-05,6.36703e-05
111,5146.87,0.41606,0.30922,0.835,0.93584,0.69137,0.78565,0.65841,0.49438,0.42877,0.86205,6.3337e-05,6.3337e-05,6.3337e-05
112,5190.69,0.41007,0.30992,0.83791,0.95098,0.699,0.7903,0.66126,0.49719,0.42295,0.86502,6.30037e-05,6.30037e-05,6.30037e-05
113,5234.8,0.40384,0.30162,0.8356,0.94161,0.69581,0.78895,0.65587,0.48963,0.42379,0.86105,6.26704e-05,6.26704e-05,6.26704e-05
114,5278.9,0.41249,0.31348,0.83481,0.93051,0.69975,0.78899,0.66319,0.48889,0.41784,0.8563,6.23371e-05,6.23371e-05,6.23371e-05
115,5322.98,0.41037,0.30813,0.83507,0.91183,0.7125,0.79586,0.66342,0.49467,0.4219,0.86032,6.20038e-05,6.20038e-05,6.20038e-05
116,5367.02,0.41512,0.31363,0.83419,0.94245,0.68996,0.78473,0.66056,0.49243,0.42773,0.86349,6.16705e-05,6.16705e-05,6.16705e-05
117,5411.03,0.41382,0.3165,0.83344,0.92854,0.71441,0.78945,0.65895,0.49359,0.42778,0.86149,6.13372e-05,6.13372e-05,6.13372e-05
118,5454.59,0.39954,0.3015,0.82931,0.93411,0.71091,0.79204,0.66256,0.48331,0.42094,0.85669,6.10039e-05,6.10039e-05,6.10039e-05
119,5498.28,0.40477,0.30288,0.83164,0.92081,0.71643,0.79113,0.66134,0.48991,0.43562,0.86197,6.06706e-05,6.06706e-05,6.06706e-05
120,5543.75,0.41243,0.30659,0.83629,0.95447,0.69817,0.79352,0.66648,0.48201,0.43812,0.85305,6.03373e-05,6.03373e-05,6.03373e-05
121,5587.32,0.40485,0.30689,0.83544,0.93542,0.69837,0.79455,0.66784,0.48437,0.43753,0.85966,6.0004e-05,6.0004e-05,6.0004e-05
122,5631.6,0.40588,0.305,0.83513,0.9526,0.6975,0.79034,0.66224,0.48671,0.41925,0.85825,5.96707e-05,5.96707e-05,5.96707e-05
123,5675.34,0.41326,0.31236,0.83816,0.92697,0.72131,0.79549,0.66701,0.48668,0.41382,0.86009,5.93374e-05,5.93374e-05,5.93374e-05
124,5719.18,0.40054,0.29851,0.8326,0.94137,0.70512,0.7946,0.66649,0.48397,0.42666,0.85904,5.90041e-05,5.90041e-05,5.90041e-05
125,5763.13,0.41236,0.30794,0.8321,0.92861,0.71217,0.78949,0.66446,0.48815,0.41829,0.86008,5.86708e-05,5.86708e-05,5.86708e-05
126,5806.87,0.3937,0.29523,0.83257,0.9296,0.71008,0.79466,0.66819,0.48646,0.42752,0.8634,5.83375e-05,5.83375e-05,5.83375e-05
